12/06/2022 07:06:48 PM : SECURITY - User registration [carol@email.com, 127.0.0.1]
12/06/2022 07:08:25 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/06/2022 07:08:36 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/06/2022 07:09:15 PM : SECURITY - Login attempt failed [c2@gmail.com, 127.0.0.1]
12/06/2022 07:09:24 PM : SECURITY - Login attempt failed [c2@gmail.com, 127.0.0.1]
12/06/2022 07:09:29 PM : SECURITY - Login attempts exceeded [c2@gmail.com, 127.0.0.1]
12/06/2022 07:23:08 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/06/2022 07:24:29 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/06/2022 07:28:41 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/06/2022 07:46:51 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/06/2022 07:48:12 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/06/2022 07:50:49 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/06/2022 07:51:41 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/06/2022 07:51:46 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/06/2022 08:29:34 PM : SECURITY - Login attempts exceeded [admin@email.com, 127.0.0.1]
12/06/2022 08:30:23 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
12/06/2022 08:30:28 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
12/06/2022 08:31:05 PM : SECURITY - Login attempt failed [bob@email.com, 127.0.0.1]
12/06/2022 08:31:40 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/06/2022 08:53:08 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/06/2022 08:54:14 PM : SECURITY - Login attempt failed [bob@email.com, 127.0.0.1]
12/06/2022 08:54:41 PM : SECURITY - Login attempts exceeded [bob@email.com, 127.0.0.1]
12/06/2022 08:54:59 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/06/2022 09:00:08 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/06/2022 09:01:40 PM : SECURITY - Login attempt failed [admin@email.com, 127.0.0.1]
12/06/2022 09:02:13 PM : SECURITY - Login attempt failed [admin@email.com, 127.0.0.1]
12/06/2022 09:03:00 PM : SECURITY - Login attempts exceeded [admin@email.com, 127.0.0.1]
12/06/2022 09:03:26 PM : SECURITY - Login attempt failed [admin@email.com, 127.0.0.1]
12/06/2022 09:04:53 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
12/06/2022 09:08:30 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
12/06/2022 09:09:47 PM : SECURITY - Login attempt failed [bob@email.com, 127.0.0.1]
12/06/2022 09:10:15 PM : SECURITY - Login attempts exceeded [bob@email.com, 127.0.0.1]
12/06/2022 09:10:42 PM : SECURITY - Login attempt failed [bob@email.com, 127.0.0.1]
12/06/2022 09:11:12 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/06/2022 09:11:30 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/06/2022 09:20:14 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/06/2022 09:20:37 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/06/2022 09:21:35 PM : SECURITY - Login attempt failed [admin@email.com, 127.0.0.1]
12/06/2022 09:21:58 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
12/06/2022 09:22:21 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
12/06/2022 09:38:57 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
12/06/2022 09:40:09 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
12/07/2022 03:52:49 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/07/2022 05:46:17 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/07/2022 05:47:50 PM : SECURITY - Log in [3, carol@email.com, 127.0.0.1]
12/07/2022 05:54:14 PM : SECURITY - Log out [3, carol@email.com, 127.0.0.1]
12/07/2022 05:55:02 PM : SECURITY - Login attempt failed [admin@email.com, 127.0.0.1]
12/07/2022 05:55:23 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
12/07/2022 05:56:36 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
12/07/2022 05:57:19 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/07/2022 05:59:07 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
12/07/2022 05:59:38 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
12/07/2022 06:00:30 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
12/07/2022 06:01:41 PM : SECURITY - Login attempt failed [bob@email.com, 127.0.0.1]
12/07/2022 06:02:11 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
12/07/2022 06:04:40 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
